cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
SUBJID,Subject Identifier,An alphanumeric identifier assigned to a specific patient.,0.5064831149056026,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SEX,Sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,0.39344933751566435,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENTAGE,Age at Study Entry,The number of education years that a subject has competed.,0.39353513787380057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
RACE,Race,A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,0.28808120894959066,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ETHNIC,Ethnicity,A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.,0.517738319122025,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PSHYPRN,"Any psychiatric/hypnotic
treatments? (num)",Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,0.35477775968963704,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
CMNAME,Therapy Name,An alphanumeric identifier assigned to a specific patient.,0.3113231260822746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAQRN,FAQ Item Result Numeric,Functional Activities Questionnaire (FAQ) Total Score.,0.47301777346257723,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NPIRN,NPI Item Result Numeric,Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,0.5200671935478571,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MMSERN,MMSE Item Result Numeric,Mini-Mental State Examination (MMSE) Total score.,0.6053323902891427,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
